# Dataset "Data 0" exported from GenX on Thu Jan 17 17:19:11 2019
# Column lables:
# x	I_simulated	I	error(I)
2.240000000000000047e-01 9.973549578540829019e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.280000000000000082e-01 9.954451991507243802e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.320000000000000118e-01 9.918025508600688545e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.360000000000000153e-01 9.844102337673695802e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000189e-01 9.681916817886093707e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.439999999999999947e-01 9.289857391658620234e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.479999999999999982e-01 8.237319598842971491e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.520000000000000018e-01 5.375682290782779482e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.560000000000000053e-01 8.600458234123664614e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000089e-01 5.966254947500899269e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.640000000000000124e-01 2.498944411550311218e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.680000000000000160e-01 3.625462208735439340e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.720000000000000195e-01 3.984045853370617452e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.760000000000000231e-01 3.823145585876358554e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000266e-01 3.282991236894481912e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.840000000000000302e-01 2.469777668068532106e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.880000000000000338e-01 1.532334086682546337e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.920000000000000373e-01 6.892214045514208354e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.959999999999999853e-01 1.606774126097086294e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.999999999999999889e-01 4.029118791992193985e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.039999999999999925e-01 2.483283089217980591e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.079999999999999960e-01 6.170268073438072570e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.119999999999999996e-01 9.962747204174896010e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.160000000000000031e-01 1.295194725601152008e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-01 1.474232730702440541e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.240000000000000102e-01 1.525378908499465391e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.280000000000000138e-01 1.457859764067132580e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.320000000000000173e-01 1.291197660339273301e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.360000000000000209e-01 1.052788464746036157e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000244e-01 7.768044970959635254e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.440000000000000280e-01 5.018792819112133374e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.480000000000000315e-01 2.661813137506877786e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.520000000000000351e-01 1.003633867146656693e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.559999999999999831e-01 2.091442009514913811e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.599999999999999867e-01 2.710887040965281013e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.639999999999999902e-01 1.030960857010973682e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.679999999999999938e-01 2.238599255216494263e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.719999999999999973e-01 3.621060932743103838e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.760000000000000009e-01 4.935788642019558331e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000044e-01 5.998934521341373755e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.840000000000000080e-01 6.692867328768638269e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.880000000000000115e-01 6.961737747568411128e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.920000000000000151e-01 6.802678146599146214e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.960000000000000187e-01 6.256781049187590260e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000222e-01 5.400921743288044502e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.040000000000000258e-01 4.339583587803618608e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.080000000000000293e-01 3.195156889584628568e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.120000000000000329e-01 2.095592018761385442e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.160000000000000364e-01 1.159588337853691316e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000400e-01 4.812202877613897152e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.239999999999999880e-01 1.172277838018838565e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.279999999999999916e-01 8.028149191940583268e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.319999999999999951e-01 3.400781743379584308e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.359999999999999987e-01 8.317406239448143015e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.400000000000000022e-01 1.468890388424905213e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.440000000000000058e-01 2.157900151212528705e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.480000000000000093e-01 2.810363088662495151e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.520000000000000129e-01 3.352148842249808025e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.560000000000000164e-01 3.728769185791771384e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.600000000000000200e-01 3.907650725620306909e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.640000000000000235e-01 3.878206401124050656e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.680000000000000271e-01 3.650470650480187873e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.720000000000000306e-01 3.252745768623966499e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.760000000000000342e-01 2.728391804781711907e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000377e-01 2.131703654296958003e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.839999999999999858e-01 1.522818472517535951e-02 0.000000000000000000e+00 0.000000000000000000e+00
4.879999999999999893e-01 9.617871488985782480e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.919999999999999929e-01 5.022635551742473010e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.959999999999999964e-01 1.855889937735098879e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 3.621906121041619801e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.040000000000000036e-01 5.933426957423372896e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.080000000000000071e-01 2.410816776177126999e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.120000000000000107e-01 5.513346425576795724e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.160000000000000142e-01 9.483355567878224215e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.200000000000000178e-01 1.384283170008227849e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.240000000000000213e-01 1.810912685627522056e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.280000000000000249e-01 2.184337698129359268e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.320000000000000284e-01 2.468748653153571282e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.360000000000000320e-01 2.638863792535443148e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000355e-01 2.681227167320873739e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.440000000000000391e-01 2.594527163105831563e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.480000000000000426e-01 2.389095185235633537e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.520000000000000462e-01 2.085684633840085428e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.560000000000000497e-01 1.713572875220744154e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000533e-01 1.308011079655147825e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.640000000000000568e-01 9.070890257925651179e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.680000000000000604e-01 5.481826208414494403e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.720000000000000639e-01 2.642844226809493158e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.760000000000000675e-01 8.063424987844854336e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.800000000000000711e-01 1.211345252288157851e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.839999999999999636e-01 6.180376683040506545e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.879999999999999671e-01 2.209382973945046326e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.919999999999999707e-01 4.702305383699280188e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.959999999999999742e-01 7.823289146045282402e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.999999999999999778e-01 1.124978783492553563e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.039999999999999813e-01 1.464419742039347813e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.079999999999999849e-01 1.768598822577401378e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.119999999999999885e-01 2.009901262779120387e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.159999999999999920e-01 2.167239456317404320e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.199999999999999956e-01 2.227455724900879314e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.239999999999999991e-01 2.186064086833968897e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.280000000000000027e-01 2.047379330656957583e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.320000000000000062e-01 1.824072382175892515e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.360000000000000098e-01 1.536170394234141756e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000133e-01 1.209510019979929268e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.440000000000000169e-01 8.736700116863624702e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.480000000000000204e-01 5.594622294784715351e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.520000000000000240e-01 2.961426764756696847e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.560000000000000275e-01 1.085959937779173382e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.600000000000000311e-01 1.481661674812144208e-04 0.000000000000000000e+00 0.000000000000000000e+00
6.640000000000000346e-01 2.402496216453128049e-04 0.000000000000000000e+00 0.000000000000000000e+00
6.680000000000000382e-01 1.356975675181959669e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.720000000000000417e-01 3.396600794222366312e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.760000000000000453e-01 6.172216586478680191e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.800000000000000488e-01 9.431650209612424396e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.840000000000000524e-01 1.288291874196833241e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.880000000000000560e-01 1.622183379497801892e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.920000000000000595e-01 1.915867224959209858e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.960000000000000631e-01 2.144163034629273726e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000666e-01 2.287573163991542258e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.040000000000000702e-01 2.333667357551291732e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.079999999999999627e-01 2.277960028513400029e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.119999999999999662e-01 2.124294516838955149e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.159999999999999698e-01 1.884737316121884443e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.199999999999999734e-01 1.578961919077118831e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.239999999999999769e-01 1.233084864533608334e-02 0.000000000000000000e+00 0.000000000000000000e+00
